ISIN Div Payout/ ISIN Growth	Net Asset Value
INF204K01XB8	10.2568
INF204K01FI0	32.2528
	
	
	
INF663L01AD7	2539.36
INF663L01AF2	1564.4811
INF663L01AI6	1192.1259
INF663L01492	1075.7507
INF663L01526	1087.9707
INF663L01484	2286.9931
INF663L01BF0	1631.8015
	
	
	
INF082J01176	18.6458
INF082J01184	10.2750
INF082J01218	18.4999
INF082J01226	10.3401
	
	
	
INF200K01RD4	33.4939
INF200K01RB8	18.7083
INF200K01958	31.0648
INF200K01966	16.2858
	
	
	
INF277K01MV5	38.2366
INF277K01360	34.9217
INF277K01DE0	20.1116
INF277K01MT9	22.6907
	
	
	
INF582M01799	21.3819
INF582M01815	14.3226
INF582M01336	20.3402
INF582M01351	13.5610
	
	
	
INF789F1APX7	1.3473
INF789F1APO6	1.2708
INF789F1AQC9	0.7238
INF789F1AQE5	0.7329
INF789F1AQA3	0.7258
INF789F1APY5	1.0369
INF789F1APT5	0.6989
INF789F1APV1	0.7036
INF789F1APR9	0.6896
INF789F1APP3	0.7527
INF789FA1S65	13.4064
INF789FA1S81	14.4752
INF789F01XD4	28.8437
INF789FA1S40	14.1981
INF789F01XB8	22.1964
INF789FA1S08	12.747
INF789FA1S24	14.2853
INF789F01JQ5	26.9513
INF789FA1R82	13.2809
INF789F01JO0	14.6747
	
	
	
	
	
INF209K01UW9	100.4825
INF209K01UY5	100.648
INF209K01UX7	311.0287
-	100.4844
-	100.64
INF209K01MG9	303.8132
-	100.6778
INF209K01MF1	439.4263
	
	
	
INF846K016A1	1109.9760
-	1001.5349
INF846K014A6	1123.3434
INF846K018A7	1006.3470
INF846K019A5	1092.5904
INF846K014B4	1100.9559
-	1001.7386
INF846K012B8	1113.6991
INF846K016B9	1006.1568
INF846K018B5	1083.6406
	
	
	
INF194KB1BJ6	10.4119
-	10.0258
INF194KB1BA5	11.3614
INF194KB1BD9	10.0781
INF194KB1BH0	11.2621
INF194KB1BF4	10.2643
-	10.0301
INF194KB1AY7	10.3840
-	10.0258
INF194KB1AP5	11.2204
INF194KB1AS9	10.0571
INF194KB1AW1	11.2206
INF194KB1AU5	10.2286
-	10.0296
	
	
	
INF251K01RX5	10.3611
INF251K01RY3	10.0487
INF251K01RU1	10.3446
INF251K01RV9	10.0486
	
	
	
INF740KA1PV1	11.4598
INF740KA1PW9	11.4598
INF740KA1PS7	11.3826
INF740KA1PT5	11.3826
	
	
	
INF090I01LK1	38.2088
-	10.1037
INF090I01LM7	35.4519
-	10.2063
	
	
	
-	10.0809
-	10.0809
INF179K01VQ4	44.1414
INF179K01VO9	10.1999
-	10.0689
INF179K01707	43.4527
INF179K01715	10.1986
INF179K01731	10.0685
	
	
	
INF109KA1I43	151.7062
INF109K01AW3	101.4467
-	101.4468
